period,entity_id,budget_revenue_pln,actual_revenue_pln,revenue_variance_pln,revenue_variance_pct,budget_opex_pln,actual_opex_pln,opex_variance_pln,opex_variance_pct,budget_net_income_pln,actual_net_income_pln,is_budget_overrun
2020-01,FINCORP-PL,2436443.32,2233863.62,-202579.7,-8.31,1159254.38,1299471.06,140216.68,12.1,292373.2,-265724.47,True
2020-02,FINCORP-PL,2370767.42,2292869.69,-77897.73,-3.29,1418733.77,1381565.67,-37168.1,-2.62,284492.09,-310440.16,False
2020-03,FINCORP-PL,1497822.83,1695858.1,198035.27,13.22,1412125.04,1483675.53,71550.49,5.07,179738.74,-786518.06,False
2020-04,FINCORP-PL,1592993.0,1626853.75,33860.75,2.13,844896.66,865144.82,20248.16,2.4,191159.16,-695808.24,False
2020-05,FINCORP-PL,1822626.43,1859716.41,37089.98,2.03,1463679.35,1509992.66,46313.31,3.16,218715.17,-669539.31,False
2020-06,FINCORP-PL,2396643.82,2193139.17,-203504.65,-8.49,1216850.83,1475782.6,258931.77,21.28,287597.26,-115104.31,True
2020-07,FINCORP-PL,1736538.39,1749087.29,12548.9,0.72,1416250.08,1414036.07,-2214.01,-0.16,208384.61,-870836.31,False
2020-08,FINCORP-PL,1646110.73,1926548.66,280437.93,17.04,1328024.33,1301389.97,-26634.36,-2.01,197533.29,-520342.01,False
2020-09,FINCORP-PL,2706340.36,2493136.08,-213204.28,-7.88,1086859.16,1300417.79,213558.63,19.65,324760.84,216300.33,True
2020-10,FINCORP-PL,2500308.37,2680606.62,180298.25,7.21,1085450.2,1188601.76,103151.56,9.5,300037.0,336324.57,False
2020-11,FINCORP-PL,2365267.86,2152181.18,-213086.68,-9.01,1265840.87,1486321.85,220480.98,17.42,283832.14,-327129.83,True
2020-12,FINCORP-PL,2195879.05,2035170.38,-160708.67,-7.32,1683920.69,1663948.39,-19972.3,-1.19,263505.49,-336696.38,False
2021-01,FINCORP-PL,2651684.66,3033408.7,381724.04,14.4,1547552.76,1751171.2,203618.44,13.16,318202.16,-2636.59,True
2021-02,FINCORP-PL,2894400.6,3366231.06,471830.46,16.3,1359536.03,1409100.98,49564.95,3.65,347328.07,311093.33,False
2021-03,FINCORP-PL,2950742.74,3100330.45,149587.71,5.07,1233955.33,1433857.41,199902.08,16.2,354089.13,409178.09,True
2021-04,FINCORP-PL,3474780.38,3160002.02,-314778.36,-9.06,1433677.81,1402772.43,-30905.38,-2.16,416973.65,343102.06,False
2021-05,FINCORP-PL,3088473.64,3305558.8,217085.16,7.03,1691176.44,1962332.18,271155.74,16.03,370616.84,391250.6,True
2021-06,FINCORP-PL,3250295.7,3530787.91,280492.21,8.63,1971659.41,2006014.9,34355.49,1.74,390035.48,718715.82,False
2021-07,FINCORP-PL,2674976.22,2788435.79,113459.57,4.24,1114109.85,1097282.1,-16827.75,-1.51,320997.15,170476.04,False
2021-08,FINCORP-PL,3160868.45,2880386.19,-280482.26,-8.87,1014378.81,1147246.26,132867.45,13.1,379304.21,242852.64,True
2021-09,FINCORP-PL,3623212.19,3796343.22,173131.03,4.78,1019613.26,1131935.64,112322.38,11.02,434785.46,760984.91,True
2021-10,FINCORP-PL,3762577.7,3425332.06,-337245.64,-8.96,1469439.27,1563873.77,94434.5,6.43,451509.32,733546.3,False
2021-11,FINCORP-PL,3427260.45,3274537.58,-152722.87,-4.46,1665893.29,1994820.67,328927.38,19.74,411271.25,402633.6,True
2021-12,FINCORP-PL,3318593.02,3253753.19,-64839.83,-1.95,1102322.16,1062778.9,-39543.26,-3.59,398231.16,670681.44,False
2022-01,FINCORP-PL,2985338.01,2899442.22,-85895.79,-2.88,1296058.94,1356053.31,59994.37,4.63,358240.56,-191231.15,False
2022-02,FINCORP-PL,2936863.61,3174109.69,237246.08,8.08,2248203.7,2253856.85,5653.15,0.25,352423.63,-429928.51,False
2022-03,FINCORP-PL,3341156.68,3408032.24,66875.56,2.0,1329343.16,1370854.42,41511.26,3.12,400938.8,303069.95,False
2022-04,FINCORP-PL,3431109.26,3570148.22,139038.96,4.05,1744217.72,1642642.54,-101575.18,-5.82,411733.11,309208.08,False
2022-05,FINCORP-PL,4115466.32,4020233.14,-95233.18,-2.31,2567666.77,2753906.85,186240.08,7.25,493855.96,417553.98,False
2022-06,FINCORP-PL,3906787.51,4100348.42,193560.91,4.95,1640296.08,1670286.05,29989.97,1.83,468814.5,472786.12,False
2022-07,FINCORP-PL,3210923.16,3655490.95,444567.79,13.85,1264350.7,1382614.59,118263.89,9.35,385310.78,505933.1,False
2022-08,FINCORP-PL,3262423.89,3065186.09,-197237.8,-6.05,1981661.11,1995973.42,14312.31,0.72,391490.87,-897764.06,False
2022-09,FINCORP-PL,3848794.85,3819175.68,-29619.17,-0.77,1641225.7,1683389.41,42163.71,2.57,461855.38,216470.38,False
2022-10,FINCORP-PL,3636297.1,4193817.73,557520.63,15.33,1799895.48,1787372.19,-12523.29,-0.7,436355.65,829367.35,False
2022-11,FINCORP-PL,3885434.85,4285390.6,399955.75,10.29,1397738.99,1627537.68,229798.69,16.44,466252.18,987045.01,True
2022-12,FINCORP-PL,3759410.13,4015983.06,256572.93,6.82,1633140.32,1587605.2,-45535.12,-2.79,451129.22,464103.53,False
2023-01,FINCORP-PL,2531909.5,2491337.13,-40572.37,-1.6,1626532.58,1717832.92,91300.34,5.61,303829.14,-291607.98,False
2023-02,FINCORP-PL,2708103.81,3016403.65,308299.84,11.38,1396831.56,1640712.99,243881.43,17.46,324972.46,-106975.09,True
2023-03,FINCORP-PL,3424097.37,3460019.0,35921.63,1.05,1129159.36,1308540.24,179380.88,15.89,410891.68,472478.0,True
2023-04,FINCORP-PL,3916666.13,3939929.98,23263.85,0.59,1399173.17,1508333.6,109160.43,7.8,469999.94,764693.23,False
2023-05,FINCORP-PL,3976630.21,3728541.34,-248088.87,-6.24,1481784.2,1458027.93,-23756.27,-1.6,477195.63,768303.09,False
2023-06,FINCORP-PL,4478385.21,4137306.15,-341079.06,-7.62,817942.71,791311.59,-26631.12,-3.26,537406.23,1044685.99,False
2023-07,FINCORP-PL,3716499.2,3390362.42,-326136.78,-8.78,1326976.68,1243810.59,-83166.09,-6.27,445979.9,193884.15,False
