"customer_id","name","segment","country","currency","payment_terms_days","credit_limit_pln","revenue_category","account_manager","payment_reliability","contact_email","is_active","since_date"
"C0001","Moore  Smith and Warren","Enterprise","NL","EUR","45","1000000","Service","Marek Bieszke","EXCELLENT","contact.c0001@fincorp-client.com","TRUE","2020-06-29"
"C0002","Jarmuła Sp.j.","Enterprise","PL","EUR","45","500000","Product","Cezary Masiak","GOOD","contact.c0002@fincorp-client.com","TRUE","2019-11-18"
"C0003","FPUH Cybul-Prejs Sp.k.","Enterprise","SE","USD","45","1000000","Product","Marissa Pope","AVERAGE","contact.c0003@fincorp-client.com","TRUE","2024-05-14"
"C0004","Gerlach Ladeck GmbH & Co. OHG","Enterprise","AT","EUR","45","250000","Product","Caleb Sanders","AVERAGE","contact.c0004@fincorp-client.com","TRUE","2023-01-14"
"C0005","Fundacja Trznadel","Enterprise","PL","USD","45","2000000","Product","Jędrzej Szałas","SLOW","contact.c0005@fincorp-client.com","TRUE","2024-01-20"
"C0006","Siewert-Neugebauer Sp. z o.o. Sp.k.","Enterprise","SE","PLN","45","1000000","Service","Helga Förster","AVERAGE","contact.c0006@fincorp-client.com","TRUE","2021-06-06"
"C0007","Powell Inc","Enterprise","FR","PLN","45","250000","Service","pan Witold Błaziak","EXCELLENT","contact.c0007@fincorp-client.com","FALSE","2022-04-12"
"C0008","Gardner-Steele","Enterprise","AT","EUR","45","500000","Service","Cathy Bradford","AVERAGE","contact.c0008@fincorp-client.com","TRUE","2019-08-18"
"C0009","Anderson  Bernard and Forbes","Enterprise","SE","EUR","45","250000","Product","David Ward","EXCELLENT","contact.c0009@fincorp-client.com","TRUE","2023-10-17"
"C0010","Fundacja Siedlaczek","Enterprise","PL","PLN","45","2000000","Service","Martin Müller-Riehl","GOOD","contact.c0010@fincorp-client.com","TRUE","2024-08-08"
"C0011","PPUH Wawrzyczek Sp. z o.o.","Enterprise","DE","PLN","45","100000","Mixed","pani Agnieszka Kunda","EXCELLENT","contact.c0011@fincorp-client.com","TRUE","2022-12-13"
"C0012","Morris Group","Enterprise","FR","PLN","45","2000000","Product","Gabriel Cybul","SLOW","contact.c0012@fincorp-client.com","TRUE","2022-07-12"
"C0013","Mohaupt KG","Enterprise","DE","EUR","45","2000000","Mixed","Kornelia Szymocha","GOOD","contact.c0013@fincorp-client.com","TRUE","2020-04-10"
"C0014","PPUH Holewa","Enterprise","SE","USD","45","500000","Product","Jared Johnson","GOOD","contact.c0014@fincorp-client.com","FALSE","2024-07-22"
"C0015","Noack Gerlach KG","Enterprise","CZ","USD","45","500000","Service","Rosel Stroh","GOOD","contact.c0015@fincorp-client.com","TRUE","2023-12-26"
"C0016","Allen  Edwards and Thompson","Enterprise","PL","EUR","45","2000000","Mixed","Justin White","EXCELLENT","contact.c0016@fincorp-client.com","TRUE","2020-02-24"
"C0017","Ernst GbR","Enterprise","SE","USD","45","500000","Product","Regina Perez","GOOD","contact.c0017@fincorp-client.com","TRUE","2023-01-02"
"C0018","Nelson Group","Enterprise","SE","EUR","45","500000","Product","pan Nataniel Pajek","AVERAGE","contact.c0018@fincorp-client.com","TRUE","2020-01-06"
"C0019","Henk","Enterprise","PL","USD","45","2000000","Service","Dagmara Jaśkowiec","EXCELLENT","contact.c0019@fincorp-client.com","TRUE","2024-10-18"
"C0020","Gabinety Druszcz i syn s.c.","Enterprise","AT","PLN","45","100000","Mixed","pan Konstanty Mostek","GOOD","contact.c0020@fincorp-client.com","TRUE","2018-11-10"
"C0021","Sorbian-Bełz Sp.k.","Enterprise","AT","USD","45","250000","Mixed","Ellinor Nerger","GOOD","contact.c0021@fincorp-client.com","TRUE","2020-03-21"
"C0022","Trybała-Nieszporek i syn s.c.","Enterprise","AT","USD","45","1000000","Service","Dipl.-Ing. Anna-Lena Patberg","EXCELLENT","contact.c0022@fincorp-client.com","TRUE","2023-04-13"
"C0023","Huhn","Enterprise","FR","EUR","45","100000","Product","Dominique Foster","GOOD","contact.c0023@fincorp-client.com","TRUE","2024-11-22"
"C0024","Cholewka-Siedlaczek Sp. z o.o.","Enterprise","AT","PLN","45","1000000","Mixed","pan Aleksander Cąkała","AVERAGE","contact.c0024@fincorp-client.com","TRUE","2022-05-28"
"C0025","FPUH Kusek Sp.k.","Enterprise","DE","PLN","45","250000","Mixed","Marit Jungfer","EXCELLENT","contact.c0025@fincorp-client.com","TRUE","2018-10-02"
"C0026","Lorch GmbH & Co. KG","Enterprise","CZ","EUR","45","250000","Product","Christopher Gilbert","GOOD","contact.c0026@fincorp-client.com","TRUE","2022-05-25"
"C0027","Rodgers  Myers and Shaw","Enterprise","PL","EUR","45","250000","Mixed","Gaja Nieścioruk","GOOD","contact.c0027@fincorp-client.com","TRUE","2021-10-15"
"C0028","Kraushaar Warmer GbR","Enterprise","NL","USD","45","1000000","Mixed","Dipl.-Ing. Sarah Krause B.Sc.","GOOD","contact.c0028@fincorp-client.com","TRUE","2025-06-07"
"C0029","Mcconnell LLC","Enterprise","CZ","PLN","45","1000000","Product","Wojciech Maron","GOOD","contact.c0029@fincorp-client.com","TRUE","2021-04-08"
"C0030","Ullmann Segebahn KG","Enterprise","FR","USD","45","250000","Service","Gerhart Dobes","GOOD","contact.c0030@fincorp-client.com","TRUE","2023-05-08"
