date,EUR_PLN,USD_PLN,CZK_PLN,PLN_PLN
2020-01-01,4.4597,3.9334,0.1756,1.0
2020-01-02,4.5418,3.9219,0.1721,1.0
2020-01-03,4.5463,4.0421,0.1711,1.0
2020-01-04,4.4634,3.8944,0.1711,1.0
2020-01-05,4.4394,3.7204,0.1661,1.0
2020-01-06,4.375,3.8285,0.1743,1.0
2020-01-07,4.3474,3.7805,0.1789,1.0
2020-01-08,4.4019,3.9581,0.1673,1.0
2020-01-09,4.3764,3.9633,0.1684,1.0
2020-01-10,4.4501,3.8779,0.1718,1.0
2020-01-11,4.3719,4.1723,0.1729,1.0
2020-01-12,4.3354,4.0487,0.1681,1.0
2020-01-13,4.4367,3.7148,0.1677,1.0
2020-01-14,4.4357,4.0386,0.1737,1.0
2020-01-15,4.4107,3.9139,0.1671,1.0
2020-01-16,4.3624,3.8947,0.1772,1.0
2020-01-17,4.4475,3.7384,0.1743,1.0
2020-01-18,4.3892,3.8688,0.1754,1.0
2020-01-19,4.5025,4.0618,0.1696,1.0
2020-01-20,4.3953,3.9898,0.1769,1.0
2020-01-21,4.3817,3.9277,0.1686,1.0
2020-01-22,4.3243,4.0475,0.1784,1.0
2020-01-23,4.4142,4.0704,0.1744,1.0
2020-01-24,4.3684,3.9934,0.1792,1.0
2020-01-25,4.4171,4.1378,0.1625,1.0
2020-01-26,4.4858,3.9604,0.1718,1.0
2020-01-27,4.4273,3.7115,0.1721,1.0
2020-01-28,4.4486,4.1273,0.1709,1.0
2020-01-29,4.3553,3.8898,0.1767,1.0
2020-01-30,4.4463,3.8864,0.1751,1.0
2020-01-31,4.4278,4.0662,0.1702,1.0
2020-02-01,4.3938,3.9029,0.1671,1.0
2020-02-02,4.4437,3.9813,0.173,1.0
2020-02-03,4.4012,3.7802,0.1713,1.0
2020-02-04,4.3926,3.8537,0.1724,1.0
2020-02-05,4.4523,4.1763,0.1737,1.0
2020-02-06,4.4406,3.9411,0.1653,1.0
2020-02-07,4.4179,3.9572,0.1829,1.0
