period,entity_id,revenue_pln,gross_margin_pct,ebitda_margin_pct,net_margin_pct,ar_outstanding_pln,ar_overdue_pln,ar_overdue_pct,dso_days,transaction_count,avg_invoice_value_pln
2020-01,FINCORP-PL,2233863.62,56.34,-1.84,-11.9,0,1057181.37,0,0.0,24,93077.65
2020-02,FINCORP-PL,2292869.69,57.37,-2.88,-13.54,0,1602850.8,0,0.0,25,91714.79
2020-03,FINCORP-PL,1695858.1,51.07,-36.42,-46.38,0,1376408.87,0,0.0,24,70660.75
2020-04,FINCORP-PL,1626853.75,26.92,-26.26,-42.77,0,1024659.63,0,0.0,15,108456.92
2020-05,FINCORP-PL,1859716.41,51.69,-29.51,-36.0,0,1523319.03,0,0.0,15,123981.09
2020-06,FINCORP-PL,2193139.17,72.15,4.86,-5.25,0,1472543.64,0,0.0,24,91380.8
2020-07,FINCORP-PL,1749087.29,37.52,-43.32,-49.79,0,1301697.08,0,0.0,25,69963.49
2020-08,FINCORP-PL,1926548.66,55.97,-11.58,-27.01,0,1012606.08,0,0.0,22,87570.39
2020-09,FINCORP-PL,2493136.08,67.04,14.88,8.68,0,1666664.35,0,0.0,16,155821.01
2020-10,FINCORP-PL,2680606.62,63.38,19.04,12.55,0,1727407.96,0,0.0,19,141084.56
2020-11,FINCORP-PL,2152181.18,65.19,-3.87,-15.2,0,1617774.79,0,0.0,21,102484.82
2020-12,FINCORP-PL,2035170.38,78.4,-3.36,-16.54,0,1084024.08,0,0.0,18,113065.02
2021-01,FINCORP-PL,3033408.7,66.79,9.06,-0.09,0,1957943.48,0,0.0,16,189588.04
2021-02,FINCORP-PL,3366231.06,61.44,19.58,9.24,0,2485247.9,0,0.0,16,210389.44
2021-03,FINCORP-PL,3100330.45,66.24,19.99,13.2,0,2115155.61,0,0.0,16,193770.65
2021-04,FINCORP-PL,3160002.02,64.47,20.08,10.86,0,2315267.57,0,0.0,16,197500.13
2021-05,FINCORP-PL,3305558.8,83.41,24.04,11.84,0,2630560.59,0,0.0,19,173976.78
2021-06,FINCORP-PL,3530787.91,86.49,29.68,20.36,0,2567589.79,0,0.0,24,147116.16
2021-07,FINCORP-PL,2788435.79,50.05,10.7,6.11,0,1838676.96,0,0.0,18,154913.1
2021-08,FINCORP-PL,2880386.19,61.17,21.34,8.43,0,1702819.61,0,0.0,18,160021.45
2021-09,FINCORP-PL,3796343.22,56.95,27.13,20.05,0,2606640.34,0,0.0,21,180778.25
2021-10,FINCORP-PL,3425332.06,78.81,33.15,21.42,0,2474376.52,0,0.0,15,228355.47
2021-11,FINCORP-PL,3274537.58,80.97,20.05,12.3,0,2028488.92,0,0.0,16,204658.6
2021-12,FINCORP-PL,3253753.19,63.02,30.36,20.61,0,1634742.06,0,0.0,24,135573.05
2022-01,FINCORP-PL,2899442.22,55.42,8.65,-6.6,0,1962170.31,0,0.0,18,161080.12
2022-02,FINCORP-PL,3174109.69,67.25,-3.76,-13.54,0,1495025.76,0,0.0,15,211607.31
2022-03,FINCORP-PL,3408032.24,61.42,21.19,8.89,0,2059709.31,0,0.0,17,200472.48
2022-04,FINCORP-PL,3570148.22,63.28,17.27,8.66,0,1987825.75,0,0.0,19,187902.54
2022-05,FINCORP-PL,4020233.14,86.8,18.3,10.39,0,2999193.38,0,0.0,22,182737.87
2022-06,FINCORP-PL,4100348.42,63.34,22.6,11.53,0,2988207.96,0,0.0,19,215807.81
2022-07,FINCORP-PL,3655490.95,59.45,21.63,13.84,0,2648152.25,0,0.0,21,174071.0
2022-08,FINCORP-PL,3065186.09,46.86,-18.26,-29.29,0,2649985.75,0,0.0,18,170288.12
2022-09,FINCORP-PL,3819175.68,54.6,10.52,5.67,0,2282507.87,0,0.0,23,166051.12
2022-10,FINCORP-PL,4193817.73,72.42,29.8,19.78,0,2279309.32,0,0.0,21,199705.61
2022-11,FINCORP-PL,4285390.6,72.91,34.93,23.03,0,2417152.85,0,0.0,15,285692.71
2022-12,FINCORP-PL,4015983.06,62.82,23.29,11.56,0,2543393.18,0,0.0,18,223110.17
2023-01,FINCORP-PL,2491337.13,67.3,-1.66,-11.7,0,1269650.91,0,0.0,18,138407.62
2023-02,FINCORP-PL,3016403.65,60.58,6.18,-3.55,0,1706382.51,0,0.0,18,167577.98
2023-03,FINCORP-PL,3460019.0,70.69,32.87,13.66,0,2356305.1,0,0.0,21,164762.81
2023-04,FINCORP-PL,3939929.98,71.51,33.23,19.41,0,1917308.64,0,0.0,22,179087.73
2023-05,FINCORP-PL,3728541.34,69.77,30.67,20.61,0,1971505.04,0,0.0,24,155355.89
2023-06,FINCORP-PL,4137306.15,58.39,39.26,25.25,0,2022808.24,0,0.0,23,179882.88
2023-07,FINCORP-PL,3390362.42,49.92,13.23,5.72,0,1652436.02,0,0.0,24,141265.1
2023-08,FINCORP-PL,3115488.44,58.87,29.92,11.63,0,1241977.64,0,0.0,18,173082.69
2023-09,FINCORP-PL,4014736.4,72.74,28.29,20.03,0,2677643.87,0,0.0,16,250921.02
2023-10,FINCORP-PL,4125108.7,75.29,41.16,27.31,0,3100142.95,0,0.0,24,171879.53
2023-11,FINCORP-PL,3772910.32,74.82,30.85,18.12,0,2557572.03,0,0.0,22,171495.92
2023-12,FINCORP-PL,3227804.75,65.35,18.44,10.3,0,2224839.25,0,0.0,19,169884.46
2024-01,FINCORP-PL,2773718.66,59.08,5.77,1.22,0,1298674.36,0,0.0,22,126078.12
2024-02,FINCORP-PL,2757686.92,50.5,0.08,-7.37,0,1510460.39,0,0.0,15,183845.79
2024-03,FINCORP-PL,3218196.02,76.62,16.73,7.83,0,1768655.28,0,0.0,19,169378.74
2024-04,FINCORP-PL,3692105.31,84.3,36.23,21.8,0,2523063.34,0,0.0,23,160526.32
2024-05,FINCORP-PL,3717405.38,58.92,22.62,12.68,0,2988853.97,0,0.0,19,195652.91
2024-06,FINCORP-PL,3745541.6,83.85,33.56,19.05,0,2585480.85,0,0.0,19,197133.77
2024-07,FINCORP-PL,3020365.47,82.69,16.32,6.74,0,2492684.16,0,0.0,22,137289.34
2024-08,FINCORP-PL,2980676.12,68.3,9.3,3.71,0,1371894.96,0,0.0,22,135485.28
2024-09,FINCORP-PL,3592771.76,72.63,31.42,20.22,0,2760211.32,0,0.0,22,163307.81
2024-10,FINCORP-PL,4112860.88,78.45,32.96,23.75,0,2117391.69,0,0.0,15,274190.73
2024-11,FINCORP-PL,3948426.77,83.73,32.2,16.93,0,2591608.37,0,0.0,17,232260.4
2024-12,FINCORP-PL,3620058.56,75.58,30.23,11.59,0,3411194.64,0,0.0,22,164548.12
2020-01,FINCORP-DE,1285229.79,39.51,-1.12,-24.98,0,559676.71,0,0.0,21,61201.42
2020-02,FINCORP-DE,1477732.59,50.56,-5.26,-11.71,0,822564.93,0,0.0,16,92358.29
2020-03,FINCORP-DE,1055858.81,27.98,-29.19,-43.53,0,724245.11,0,0.0,22,47993.58
2020-04,FINCORP-DE,952577.11,77.66,-44.94,-69.21,0,625598.32,0,0.0,16,59536.07
2020-05,FINCORP-DE,1040049.8,37.94,-33.65,-39.38,0,708077.25,0,0.0,20,52002.49
2020-06,FINCORP-DE,1426376.1,74.62,-0.58,-12.84,0,732660.21,0,0.0,16,89148.51
2020-07,FINCORP-DE,1311587.11,57.23,-18.42,-28.89,0,726886.79,0,0.0,22,59617.6
2020-08,FINCORP-DE,1144825.78,43.44,-27.04,-32.68,0,799563.48,0,0.0,24,47701.07
2020-09,FINCORP-DE,1503107.3,67.69,-0.52,-5.98,0,1174384.58,0,0.0,21,71576.54
2020-10,FINCORP-DE,1712386.84,74.89,15.03,8.3,0,1036766.89,0,0.0,25,68495.47
2020-11,FINCORP-DE,1358739.02,50.88,-5.09,-17.0,0,817609.95,0,0.0,23,59075.61
2020-12,FINCORP-DE,1327756.9,40.54,-12.26,-22.05,0,709343.7,0,0.0,22,60352.59
2021-01,FINCORP-DE,1743050.68,66.16,-7.77,-13.68,0,945470.21,0,0.0,20,87152.53
2021-02,FINCORP-DE,1763856.01,55.72,0.03,-8.82,0,893311.01,0,0.0,23,76689.39
2021-03,FINCORP-DE,2026462.55,69.56,25.44,12.12,0,1395733.31,0,0.0,15,135097.5
2021-04,FINCORP-DE,2123294.09,46.56,3.56,0.1,0,1377032.11,0,0.0,18,117960.78
2021-05,FINCORP-DE,2425775.73,84.62,30.49,21.19,0,1757551.64,0,0.0,15,161718.38
