period,entity_id,revenue_pln,cogs_pln,gross_profit_pln,gross_margin_pct,opex_pln,ebitda_pln,ebitda_margin_pct,ebit_pln,financial_costs_pln,ebt_pln,tax_pln,net_income_pln,net_margin_pct,transaction_count
2020-01,FINCORP-PL,2233863.62,975405.06,1258458.56,56.34,1299471.06,-41012.5,-1.84,-144970.18,120754.29,-265724.47,0.0,-265724.47,-11.9,48
2020-02,FINCORP-PL,2292869.69,977377.35,1315492.34,57.37,1381565.67,-66073.33,-2.88,-176598.58,133841.58,-310440.16,0.0,-310440.16,-13.54,50
2020-03,FINCORP-PL,1695858.1,829740.96,866117.14,51.07,1483675.53,-617558.39,-36.42,-736252.43,50265.63,-786518.06,0.0,-786518.06,-46.38,59
2020-04,FINCORP-PL,1626853.75,1188857.87,437995.88,26.92,865144.82,-427148.94,-26.26,-496360.53,199447.71,-695808.24,0.0,-695808.24,-42.77,37
2020-05,FINCORP-PL,1859716.41,898463.65,961252.76,51.69,1509992.66,-548739.9,-29.51,-669539.31,0.0,-669539.31,0.0,-669539.31,-36.0,45
2020-06,FINCORP-PL,2193139.17,610834.12,1582305.05,72.15,1475782.6,106522.45,4.86,-11540.16,103564.15,-115104.31,0.0,-115104.31,-5.25,46
2020-07,FINCORP-PL,1749087.29,1092764.64,656322.65,37.52,1414036.07,-757713.42,-43.32,-870836.31,0.0,-870836.31,0.0,-870836.31,-49.79,48
2020-08,FINCORP-PL,1926548.66,848345.62,1078203.04,55.97,1301389.97,-223186.93,-11.58,-327298.13,193043.88,-520342.01,0.0,-520342.01,-27.01,53
2020-09,FINCORP-PL,2493136.08,821647.42,1671488.66,67.04,1300417.79,371070.87,14.88,267037.45,0.0,267037.45,50737.11,216300.33,8.68,40
2020-10,FINCORP-PL,2680606.62,981701.2,1698905.42,63.38,1188601.76,510303.66,19.04,415215.52,0.0,415215.52,78890.95,336324.57,12.55,42
2020-11,FINCORP-PL,2152181.18,749174.04,1403007.14,65.19,1486321.85,-83314.71,-3.87,-202220.46,124909.37,-327129.83,0.0,-327129.83,-15.2,45
2020-12,FINCORP-PL,2035170.38,439628.14,1595542.24,78.4,1663948.39,-68406.15,-3.36,-201522.02,135174.36,-336696.38,0.0,-336696.38,-16.54,38
2021-01,FINCORP-PL,3033408.7,1007259.39,2026149.31,66.79,1751171.2,274978.11,9.06,134884.41,137521.0,-2636.59,0.0,-2636.59,-0.09,38
2021-02,FINCORP-PL,3366231.06,1297883.16,2068347.9,61.44,1409100.98,659246.92,19.58,546518.84,162453.0,384065.84,72972.51,311093.33,9.24,47
2021-03,FINCORP-PL,3100330.45,1046606.31,2053724.14,66.24,1433857.41,619866.73,19.99,505158.14,0.0,505158.14,95980.05,409178.09,13.2,36
2021-04,FINCORP-PL,3160002.02,1122760.49,2037241.53,64.47,1402772.43,634469.1,20.08,522247.31,98664.52,423582.79,80480.73,343102.06,10.86,41
2021-05,FINCORP-PL,3305558.8,548479.37,2757079.43,83.41,1962332.18,794747.25,24.04,637760.68,154735.24,483025.44,91774.83,391250.6,11.84,50
2021-06,FINCORP-PL,3530787.91,476988.34,3053799.57,86.49,2006014.9,1047784.67,29.68,887303.48,0.0,887303.48,168587.66,718715.82,20.36,44
2021-07,FINCORP-PL,2788435.79,1392906.87,1395528.92,50.05,1097282.1,298246.82,10.7,210464.25,0.0,210464.25,39988.21,170476.04,6.11,44
2021-08,FINCORP-PL,2880386.19,1118461.95,1761924.24,61.17,1147246.26,614677.98,21.34,522898.28,223080.2,299818.08,56965.44,242852.64,8.43,48
2021-09,FINCORP-PL,3796343.22,1634365.18,2161978.04,56.95,1131935.64,1030042.4,27.13,939487.55,0.0,939487.55,178502.63,760984.91,20.05,55
2021-10,FINCORP-PL,3425332.06,725939.04,2699393.02,78.81,1563873.77,1135519.25,33.15,1010409.35,104796.63,905612.72,172066.42,733546.3,21.42,35
2021-11,FINCORP-PL,3274537.58,623052.74,2651484.84,80.97,1994820.67,656664.17,20.05,497078.52,0.0,497078.52,94444.92,402633.6,12.3,51
2021-12,FINCORP-PL,3253753.19,1203265.42,2050487.77,63.02,1062778.9,987708.87,30.36,902686.56,74684.78,828001.78,157320.34,670681.44,20.61,52
2022-01,FINCORP-PL,2899442.22,1292676.89,1606765.33,55.42,1356053.31,250712.02,8.65,142227.76,333458.91,-191231.15,0.0,-191231.15,-6.6,46
2022-02,FINCORP-PL,3174109.69,1039667.69,2134442.0,67.25,2253856.85,-119414.85,-3.76,-299723.4,130205.11,-429928.51,0.0,-429928.51,-13.54,49
2022-03,FINCORP-PL,3408032.24,1314988.09,2093044.15,61.42,1370854.42,722189.73,21.19,612521.38,238360.94,374160.44,71090.48,303069.95,8.89,41
2022-04,FINCORP-PL,3570148.22,1310785.16,2259363.06,63.28,1642642.54,616720.52,17.27,485309.12,103570.75,381738.37,72530.29,309208.08,8.66,51
2022-05,FINCORP-PL,4020233.14,530515.0,3489718.14,86.8,2753906.85,735811.29,18.3,515498.74,0.0,515498.74,97944.76,417553.98,10.39,43
2022-06,FINCORP-PL,4100348.42,1503349.88,2596998.54,63.34,1670286.05,926712.49,22.6,793089.61,209403.04,583686.57,110900.45,472786.12,11.53,45
2022-07,FINCORP-PL,3655490.95,1482179.17,2173311.78,59.45,1382614.59,790697.19,21.63,680088.02,55479.26,624608.76,118675.66,505933.1,13.84,53
2022-08,FINCORP-PL,3065186.09,1628792.82,1436393.27,46.86,1995973.42,-559580.15,-18.26,-719258.02,178506.04,-897764.06,0.0,-897764.06,-29.29,46
