"txn_id","date","entity_id","type","gl_account","cost_centre","counterparty_id","counterparty_name","description","amount_native","currency","amount_pln","fx_rate","payment_terms_days","due_date","payment_date","is_overdue","days_overdue","status","approved_by","is_anomaly","anomaly_type"
"TXN0000001","2020-01-19","FINCORP-PL","REVENUE","4020","CC-HR","C0118","Krebs Meister GbR","Invoice #INV-337864 - Product delivery","117618.35","PLN","117618.35","1.0","30","2020-02-18","2020-02-15","False","0","PAID","Krzysztof Wujek","False",""
"TXN0000002","2020-01-03","FINCORP-PL","REVENUE","4020","CC-HR","C0063","Ramos-Edwards","Invoice #INV-831317 - Logistics fee","88151.1","PLN","88151.1","1.0","30","2020-02-02","2020-01-30","False","0","PAID","Dipl.-Ing. Benjamin Roht","False",""
"TXN0000003","2020-01-19","FINCORP-PL","REVENUE","4020","CC-MFG","C0191","FPUH Obst","Invoice #INV-341285 - Product delivery","81001.68","PLN","81001.68","1.0","14","2020-02-02","2020-02-02","False","0","PAID","Tami May","False",""
"TXN0000004","2020-01-06","FINCORP-PL","REVENUE","4020","CC-RND","C0136","Lipok-Jachimczak Sp. z o.o.","Invoice #INV-987323 - Service contract","93673.24","PLN","93673.24","1.0","14","2020-01-20","2020-01-26","True","2379","PAID","Benjamin Figueroa","False",""
"TXN0000005","2020-01-13","FINCORP-PL","REVENUE","4020","CC-IT","C0061","Mateńko-Jonczyk Sp.j.","Invoice #INV-970446 - Service contract","63403.17","PLN","63403.17","1.0","30","2020-02-12","2020-02-13","True","2356","PAID","Kasimir Schacht","False",""
"TXN0000006","2020-01-13","FINCORP-PL","REVENUE","4010","CC-PROC","C0195","Winkler","Invoice #INV-181907 - Monthly retainer","112200.45","PLN","112200.45","1.0","14","2020-01-27","2020-01-27","False","0","PAID","Veli Stiffel-Boucsein","False",""
"TXN0000007","2020-01-28","FINCORP-PL","REVENUE","4030","CC-RND","C0119","Hering GmbH & Co. KGaA","Invoice #INV-349374 - Logistics fee","111850.53","PLN","111850.53","1.0","30","2020-02-27","2020-03-07","True","2341","PAID","pani Anna Maria Miozga","False",""
"TXN0000008","2020-01-04","FINCORP-PL","REVENUE","4020","CC-HR","C0161","PPUH Szyc-Lesisz i syn s.c.","Invoice #INV-334105 - Monthly retainer","79263.87","PLN","79263.87","1.0","14","2020-01-18","2020-01-15","False","0","PAID","Mr. Oscar Houston","False",""
"TXN0000009","2020-01-03","FINCORP-PL","REVENUE","4020","CC-FIN","C0162","Wright-Huber","Invoice #INV-278702 - Product delivery","78273.69","PLN","78273.69","1.0","14","2020-01-17","2020-01-13","False","0","PAID","Frau Anna Henck B.Eng.","False",""
"TXN0000010","2020-01-10","FINCORP-PL","REVENUE","4010","CC-FIN","C0080","Parrish  White and Stanley","Invoice #INV-278811 - Logistics fee","90089.01","PLN","90089.01","1.0","30","2020-02-09","2020-02-05","False","0","PAID","Kilian Hartung","False",""
"TXN0000011","2020-01-14","FINCORP-PL","REVENUE","4010","CC-HR","C0020","Gabinety Druszcz i syn s.c.","Invoice #INV-484699 - Product delivery","103688.8","PLN","103688.8","1.0","45","2020-02-28","2020-03-06","True","2340","PAID","Jordan Johnson","False",""
"TXN0000012","2020-01-01","FINCORP-PL","REVENUE","4030","CC-FIN","C0116","Wicha-Magryta s.c.","Invoice #INV-370627 - Monthly retainer","123344.83","PLN","123344.83","1.0","30","2020-01-31","2020-02-01","True","2368","PAID","Jennifer Fischer","False",""
"TXN0000013","2020-01-04","FINCORP-PL","REVENUE","4010","CC-MFG","C0129","Boucsein Wilms e.G.","Invoice #INV-816208 - Logistics fee","66976.02","PLN","66976.02","1.0","30","2020-02-03","2020-02-12","True","2365","PAID","Laura Santiago","False",""
"TXN0000014","2020-01-28","FINCORP-PL","REVENUE","4030","CC-MFG","C0183","Stowarzyszenie Rejniak-Rok S.A.","Invoice #INV-940646 - Service contract","62029.59","PLN","62029.59","1.0","14","2020-02-11","2020-02-11","False","0","PAID","Ignacy Gryszkiewicz","False",""
"TXN0000015","2020-01-15","FINCORP-PL","REVENUE","4020","CC-FIN","C0182","Stevens  Mccoy and Murray","Invoice #INV-975357 - Logistics fee","88305.87","PLN","88305.87","1.0","14","2020-01-29","2020-01-29","False","0","PAID","Nadja Hamann","False",""
"TXN0000016","2020-01-30","FINCORP-PL","REVENUE","4020","CC-PROC","C0073","Patberg AG","Invoice #INV-466319 - Logistics fee","84563.13","PLN","84563.13","1.0","30","2020-02-29","2020-02-25","False","0","PAID","pan Sebastian Początek","False",""
"TXN0000017","2020-01-16","FINCORP-PL","REVENUE","4030","CC-FIN","C0017","Ernst GbR","Invoice #INV-652489 - Logistics fee","80271.41","PLN","80271.41","1.0","45","2020-03-01","2020-03-08","True","2338","PAID","Ercan Schacht","False",""
"TXN0000018","2020-01-17","FINCORP-PL","REVENUE","4030","CC-FIN","C0186","Rädel","Invoice #INV-840939 - Product delivery","119071.11","PLN","119071.11","1.0","14","2020-01-31","2020-01-30","False","0","PAID","Christopher Owens","False",""
"TXN0000019","2020-01-11","FINCORP-PL","REVENUE","4020","CC-RND","C0150","Allison LLC","Invoice #INV-479834 - Monthly retainer","105097.35","PLN","105097.35","1.0","14","2020-01-25","2020-01-29","True","2374","PAID","Maks Derek","False",""
"TXN0000020","2020-01-09","FINCORP-PL","REVENUE","4010","CC-MGMT","C0034","Berry  Galloway and Diaz","Invoice #INV-379946 - Monthly retainer","99999.33","PLN","99999.33","1.0","45","2020-02-23","2020-03-18","True","2345","PAID","Eryk Linek","False",""
"TXN0000021","2020-01-30","FINCORP-PL","REVENUE","4010","CC-RND","C0165","Kohl Trommler Stiftung & Co. KGaA","Invoice #INV-441389 - Monthly retainer","114617.43","PLN","114617.43","1.0","14","2020-02-13","2020-02-10","False","0","PAID","Ashley Roberts","False",""
"TXN0000022","2020-01-07","FINCORP-PL","REVENUE","4020","CC-IT","C0131","Seifert","Invoice #INV-084024 - Service contract","82660.71","PLN","82660.71","1.0","14","2020-01-21","2020-01-25","True","2378","PAID","Tomasz Siedlik","False",""
"TXN0000023","2020-01-23","FINCORP-PL","REVENUE","4020","CC-IT","C0088","Aleksandrzak s.c.","Invoice #INV-412258 - Service contract","126215.98","PLN","126215.98","1.0","30","2020-02-22","2020-02-23","True","2346","PAID","Dr. Enrico Schmiedt","False",""
"TXN0000024","2020-01-14","FINCORP-PL","REVENUE","4010","CC-RND","C0040","Nelson Group","Invoice #INV-016009 - Logistics fee","61496.97","PLN","61496.97","1.0","45","2020-02-28","2020-02-24","False","0","PAID","Prof. Dogan Rosemann","False",""
"TXN0000025","2020-01-22","FINCORP-PL","EXPENSE","6100","CC-SALES-DE","V0039","Kelley-Chen","Invoice #VI-842716 - Maintenance","83288.39","PLN","83288.39","1.0","30","2020-02-21","2020-02-20","False","0","PAID","Joshua Parsons","False",""
"TXN0000026","2020-01-10","FINCORP-PL","EXPENSE","7010","CC-MGMT","V0045","Gutierrez LLC","Invoice #VI-894504 - Banking","120754.29","PLN","120754.29","1.0","7","2020-01-17","2020-01-16","False","0","PAID","Prof. Reimer Noack B.Eng.","False",""
"TXN0000027","2020-01-01","FINCORP-PL","EXPENSE","5010","CC-SALES-SE","V0003","Moore  Barrett and Castro","Invoice #VI-165004 - Raw Materials","86531.57","PLN","86531.57","1.0","30","2020-01-31","2020-02-07","False","0","PAID","Maurycy Szywała","False",""
"TXN0000028","2020-01-06","FINCORP-PL","EXPENSE","6090","CC-SALES-SE","V0029","Scott  Myers and Fischer","Invoice #VI-707276 - Energy & Utilities","105506.57","PLN","105506.57","1.0","14","2020-01-20","2020-01-24","False","0","PAID","Brianna Weiss","False",""
