"vendor_id","name","category","country","currency","payment_terms_days","gl_account","is_active","credit_limit_pln","avg_invoice_amount","payment_reliability","bank_account","tax_id","contact_email","created_date"
"V0001","Baker-Johnson","Raw Materials","FR","PLN","30","5010","TRUE","50000","8626.559507286705","GOOD","PL21441304766638248951","8193438242","vendor.v0001@fincorp-supplier.com","2019-01-01"
"V0002","Dyer-Johnson","Raw Materials","DE","PLN","30","5010","TRUE","100000","25232.999636145865","EXCELLENT","PL17436891092980501548","3764131909","vendor.v0002@fincorp-supplier.com","2019-01-01"
"V0003","Moore  Barrett and Castro","Raw Materials","FR","PLN","30","5010","TRUE","50000","90621.41430511075","EXCELLENT","PL71359406148131896043","8585825092","vendor.v0003@fincorp-supplier.com","2019-01-01"
"V0004","Harrison  Smith and Phillips","Raw Materials","PL","PLN","30","5010","TRUE","50000","36702.50634652249","EXCELLENT","PL77420160290519347774","9896188903","vendor.v0004@fincorp-supplier.com","2019-01-01"
"V0005","Oliver-Wiggins","Raw Materials","NL","PLN","30","5010","TRUE","100000","108822.8438737485","AVERAGE","PL62426495839217592455","2795870227","vendor.v0005@fincorp-supplier.com","2019-01-01"
"V0006","Mitchell  Smith and Reed","Raw Materials","DE","PLN","30","5010","TRUE","500000","90443.52416200675","EXCELLENT","PL18875000792865437476","3372263708","vendor.v0006@fincorp-supplier.com","2019-01-01"
"V0007","Foster Group","Raw Materials","DE","PLN","30","5010","TRUE","500000","54336.32489510882","POOR","PL35641410706530392556","8155165228","vendor.v0007@fincorp-supplier.com","2019-01-01"
"V0008","Bolander","Raw Materials","DE","PLN","30","5010","TRUE","100000","143795.89546998328","GOOD","PL03915600012534303645","6063827590","vendor.v0008@fincorp-supplier.com","2019-01-01"
"V0009","Gabinety Piechura Sp.j.","Logistics & Freight","PL","EUR","45","5040","TRUE","50000","60089.45859241392","GOOD","PL66684836036024124057","8801275378","vendor.v0009@fincorp-supplier.com","2019-01-01"
"V0010","Stroh Rogge Stiftung & Co. KGaA","Logistics & Freight","CZ","EUR","45","5040","TRUE","200000","122033.59962478511","AVERAGE","PL75100309069563193854","2718007207","vendor.v0010@fincorp-supplier.com","2019-01-01"
"V0011","Seweryniak Sp. z o.o.","Logistics & Freight","NL","EUR","45","5040","TRUE","50000","146101.78577700874","AVERAGE","PL49876261709816541005","1001012913","vendor.v0011@fincorp-supplier.com","2019-01-01"
"V0012","Olson PLC","Logistics & Freight","PL","EUR","45","5040","TRUE","200000","125263.67631668426","GOOD","PL30914149776198026257","9585691529","vendor.v0012@fincorp-supplier.com","2019-01-01"
"V0013","PPUH Glenc-Mrózek s.c.","Logistics & Freight","NL","EUR","45","5040","TRUE","100000","107162.9162511639","EXCELLENT","PL20940764826504799801","9186323220","vendor.v0013@fincorp-supplier.com","2019-01-01"
"V0014","Rohleder KG","Logistics & Freight","FR","EUR","45","5040","TRUE","100000","117094.90941436031","EXCELLENT","PL31737687743955262364","4229951063","vendor.v0014@fincorp-supplier.com","2019-01-01"
"V0015","Klotz Stiftung & Co. KGaA","IT & Software","DE","USD","30","6030","TRUE","50000","60118.30263067909","AVERAGE","PL18238814099692752363","8536919700","vendor.v0015@fincorp-supplier.com","2019-01-01"
"V0016","Meister Nette GmbH","IT & Software","FR","USD","30","6030","TRUE","200000","28584.844087632297","GOOD","PL33335051471715437662","6278924504","vendor.v0016@fincorp-supplier.com","2019-01-01"
"V0017","Ware and Sons","IT & Software","DE","USD","30","6030","TRUE","200000","106763.94545148994","EXCELLENT","PL14909269012319080909","7032072447","vendor.v0017@fincorp-supplier.com","2019-01-01"
"V0018","Ryan-Harper","IT & Software","NL","USD","30","6030","TRUE","100000","82450.28216930765","GOOD","PL52817134063647749197","4986027197","vendor.v0018@fincorp-supplier.com","2019-01-01"
"V0019","Lopez-Martin","IT & Software","DE","USD","30","6030","TRUE","500000","60021.03905485893","GOOD","PL59436961113309471049","4793311101","vendor.v0019@fincorp-supplier.com","2019-01-01"
"V0020","Hertrampf Wiek GmbH","Professional Services","FR","EUR","30","6060","TRUE","200000","127213.5284275224","EXCELLENT","PL67401797996052131004","163221189","vendor.v0020@fincorp-supplier.com","2019-01-01"
"V0021","Lara Inc","Professional Services","DE","EUR","30","6060","TRUE","50000","121731.64111182607","AVERAGE","PL49474663180374696673","1614249205","vendor.v0021@fincorp-supplier.com","2019-01-01"
"V0022","Stout Ltd","Professional Services","CZ","EUR","30","6060","TRUE","50000","35592.51232001734","GOOD","PL65633089759283388641","6794767395","vendor.v0022@fincorp-supplier.com","2019-01-01"
"V0023","Ehlert Hesse AG","Professional Services","DE","EUR","30","6060","TRUE","500000","62366.62565379632","POOR","PL11712085189276535532","4392195088","vendor.v0023@fincorp-supplier.com","2019-01-01"
"V0024","Grupa Michnik-Mazan Sp. z o.o.","Facilities & Rent","FR","PLN","30","6020","TRUE","500000","25716.38061409909","GOOD","PL04497164413856777639","7303474072","vendor.v0024@fincorp-supplier.com","2019-01-01"
"V0025","Gumprich GbR","Facilities & Rent","DE","PLN","30","6020","TRUE","200000","113317.0026895774","AVERAGE","PL55852224700046974563","7282855759","vendor.v0025@fincorp-supplier.com","2019-01-01"
"V0026","Ramirez PLC","Facilities & Rent","NL","PLN","30","6020","TRUE","500000","57489.48433847359","GOOD","PL30299053945087584025","7426694870","vendor.v0026@fincorp-supplier.com","2019-01-01"
"V0027","Hellwig e.V.","Energy & Utilities","NL","PLN","14","6090","TRUE","500000","18181.86476520012","EXCELLENT","PL51050920469413449919","5305304635","vendor.v0027@fincorp-supplier.com","2019-01-01"
"V0028","Spółdzielnia Indyk Sp. z o.o.","Energy & Utilities","PL","PLN","14","6090","TRUE","100000","95979.67604694804","AVERAGE","PL74709777423467794821","7722225877","vendor.v0028@fincorp-supplier.com","2019-01-01"
"V0029","Scott  Myers and Fischer","Energy & Utilities","NL","PLN","14","6090","TRUE","50000","60791.26019280251","AVERAGE","PL80573578303391931288","7435957927","vendor.v0029@fincorp-supplier.com","2019-01-01"
"V0030","Chandler-Hernandez","Marketing","NL","EUR","30","6040","TRUE","200000","145806.36475397463","EXCELLENT","PL14546075685966221674","3806640142","vendor.v0030@fincorp-supplier.com","2019-01-01"
"V0031","Maciejko-Kolman Sp.k.","Marketing","FR","EUR","30","6040","TRUE","50000","103848.00350885336","GOOD","PL41629631584968332789","8151125892","vendor.v0031@fincorp-supplier.com","2019-01-01"
"V0032","FPUH Borysiewicz","Marketing","FR","EUR","30","6040","TRUE","200000","21175.06517140208","AVERAGE","PL94457193771497524094","7933111328","vendor.v0032@fincorp-supplier.com","2019-01-01"
"V0033","Bishop Ltd","Marketing","DE","EUR","30","6040","TRUE","500000","5470.570834750747","GOOD","PL88539211921038160913","3286787718","vendor.v0033@fincorp-supplier.com","2019-01-01"
"V0034","Löchel GmbH & Co. KG","Insurance","NL","PLN","30","6080","TRUE","100000","78613.84281762716","EXCELLENT","PL22987401646764012976","1284893356","vendor.v0034@fincorp-supplier.com","2019-01-01"
"V0035","Reilly  Byrd and Andrade","Insurance","FR","PLN","30","6080","TRUE","200000","127042.05548500772","GOOD","PL72899202155287378445","8122975122","vendor.v0035@fincorp-supplier.com","2019-01-01"
"V0036","Zirme","Travel","DE","PLN","14","6050","TRUE","200000","115564.06601089692","EXCELLENT","PL11660757169103049208","6275230682","vendor.v0036@fincorp-supplier.com","2019-01-01"
"V0037","Scott and Sons","Travel","NL","PLN","14","6050","TRUE","200000","75847.82766419744","EXCELLENT","PL40565320050675982647","2986642726","vendor.v0037@fincorp-supplier.com","2019-01-01"
"V0038","Arnold LLC","Travel","CZ","PLN","14","6050","TRUE","200000","39720.58499901852","GOOD","PL70720428840872337582","3558837613","vendor.v0038@fincorp-supplier.com","2019-01-01"
"V0039","Kelley-Chen","Maintenance","NL","PLN","30","6100","TRUE","50000","17419.75054984242","AVERAGE","PL97844075842986217387","9355508969","vendor.v0039@fincorp-supplier.com","2019-01-01"
"V0040","Gutierrez Inc","Maintenance","PL","PLN","30","6100","TRUE","100000","23616.762352465605","AVERAGE","PL85474914592587168660","4469695286","vendor.v0040@fincorp-supplier.com","2019-01-01"
"V0041","Fundacja Mikłaszewicz","Maintenance","NL","PLN","30","6100","TRUE","100000","43433.21119630857","AVERAGE","PL65159771888185205129","6961890872","vendor.v0041@fincorp-supplier.com","2019-01-01"
"V0042","Koch Zirme AG","Maintenance","DE","PLN","30","6100","TRUE","100000","108377.60105877266","AVERAGE","PL79197861307776740742","489458862","vendor.v0042@fincorp-supplier.com","2019-01-01"
"V0043","Fliegner Dietz AG & Co. KGaA","Maintenance","FR","PLN","30","6100","TRUE","200000","68524.5121676031","AVERAGE","PL34217031304350367630","9040622365","vendor.v0043@fincorp-supplier.com","2019-01-01"
"V0044","Rädel Scheel GmbH","Banking","PL","PLN","7","7010","TRUE","100000","37581.11386957581","GOOD","PL92739126572782064037","8068936381","vendor.v0044@fincorp-supplier.com","2019-01-01"
"V0045","Gutierrez LLC","Banking","PL","PLN","7","7010","TRUE","100000","90323.8165895009","EXCELLENT","PL08476844300841802016","2538801731","vendor.v0045@fincorp-supplier.com","2019-01-01"
"V0046","Henck Kambs AG","Manufacturing Equipment","PL","EUR","60","5030","TRUE","50000","38196.55865261739","EXCELLENT","PL72835523657342847845","2742905982","vendor.v0046@fincorp-supplier.com","2019-01-01"
"V0047","Popielarczyk-Kosznik S.A.","Manufacturing Equipment","CZ","EUR","60","5030","TRUE","50000","79552.63737224542","GOOD","PL75427833494008477986","4153345951","vendor.v0047@fincorp-supplier.com","2019-01-01"
"V0048","PPUH Hyży i syn s.c.","Manufacturing Equipment","FR","EUR","60","5030","TRUE","500000","36064.3370687136","GOOD","PL27711687508710318043","4319252345","vendor.v0048@fincorp-supplier.com","2019-01-01"
"V0049","Staude","Manufacturing Equipment","FR","EUR","60","5030","TRUE","500000","40234.60014738006","AVERAGE","PL06569571912203802359","990907636","vendor.v0049@fincorp-supplier.com","2019-01-01"
"V0050","Butte","Manufacturing Equipment","SE","EUR","60","5030","TRUE","100000","18677.24049132292","AVERAGE","PL91438617419820121092","4264109886","vendor.v0050@fincorp-supplier.com","2019-01-01"
